time,thrust
1149,4.648099338
1150,4.647993377
1151,4.647887417
1152,4.647781457
1153,4.647675497
1154,4.647569536
1155,4.647463576
1156,4.647357616
1157,4.647251656
1158,4.647145695
1159,4.647039735
1160,4.646933775
1161,4.646827815
1162,4.646721854
1163,4.646615894
1164,4.646509934
1165,4.646403974
1166,4.646298013
1167,4.646192053
1168,4.646086093
1169,4.645980132
1170,4.645874172
1171,4.645768212
1172,4.645662252
1173,4.645556291
1174,4.645450331
1175,4.645344371
1176,4.645238411
1177,4.64513245
1178,4.64502649
1179,4.64492053
1180,4.64481457
1181,4.644708609
1182,4.644602649
1183,4.644496689
1184,4.644390728
1185,4.644284768
1186,4.644178808
1187,4.644072848
1188,4.643966887
1189,4.643860927
1190,4.643754967
1191,4.643649007
1192,4.643543046
1193,4.643437086
1194,4.643331126
1195,4.643225166
1196,4.643119205
1197,4.643013245
1198,4.642907285
1199,4.642801325
1200,4.642695364
1201,4.642589404
1202,4.642483444
1203,4.642377483
1204,4.642271523
1205,4.642165563
1206,4.642059603
1207,4.641953642
1208,4.641847682
1209,4.641741722
1210,4.641635762
1211,4.641529801
1212,4.641423841
1213,4.641317881
1214,4.641211921
1215,4.64110596
1216,4.641
1217,4.64089404
1218,4.640788079
1219,4.640682119
1220,4.640576159
1221,4.640470199
1222,4.640364238
1223,4.640258278
1224,4.640152318
1225,4.640046358
1226,4.639940397
1227,4.639834437
1228,4.639728477
1229,4.639622517
1230,4.639516556
1231,4.639410596
1232,4.639304636
1233,4.639198675
1234,4.639092715
1235,4.638986755
1236,4.638880795
1237,4.638774834
1238,4.638668874
1239,4.638562914
1240,4.638456954
1241,4.638350993
1242,4.638245033
1243,4.638139073
1244,4.638033113
1245,4.637927152
1246,4.637821192
1247,4.637715232
1248,4.637609272
1249,4.637503311
1250,4.637397351
1251,4.637291391
1252,4.63718543
1253,4.63707947
1254,4.63697351
1255,4.63686755
1256,4.636761589
1257,4.636655629
1258,4.636549669
1259,4.636443709
1260,4.636337748
1261,4.636231788
1262,4.636125828
1263,4.636019868
1264,4.635913907
1265,4.635807947
